date;product;machine;week_refill;stock_maxi;cumcount
14/11/2019 11:53;refill;A;1;0;0
14/11/2019 12:06;coffee;A;1;280;1
14/11/2019 12:07;soda;A;1;120;1
14/11/2019 12:13;soda;A;1;120;2
14/11/2019 12:22;coffee;A;1;280;2
14/11/2019 12:37;soda;A;1;120;3
14/11/2019 12:47;refill;B;1;0;0
14/11/2019 12:47;coffee;A;1;280;3
14/11/2019 12:51;coffee;A;1;280;4
14/11/2019 12:52;coffee;A;1;280;5
14/11/2019 12:55;coffee;A;1;280;6
14/11/2019 12:55;soda;A;1;120;4
14/11/2019 12:56;coffee;A;1;280;7
14/11/2019 13:01;coffee;B;1;280;1
14/11/2019 13:03;coffee;B;1;280;2
14/11/2019 13:11;coffee;A;1;280;8
14/11/2019 13:11;coffee;B;1;280;3
14/11/2019 13:17;coffee;A;1;280;9
14/11/2019 13:25;coffee;A;1;280;10
14/11/2019 13:27;coffee;A;1;280;11
14/11/2019 13:38;soda;A;1;120;5
14/11/2019 13:44;coffee;B;1;280;4
14/11/2019 13:48;coffee;A;1;280;12
14/11/2019 13:51;coffee;B;1;280;5
14/11/2019 13:51;refill;C;1;0;0
14/11/2019 14:00;coffee;B;1;280;6
14/11/2019 14:00;coffee;C;1;280;1
14/11/2019 14:03;coffee;C;1;280;2
14/11/2019 14:03;coffee;A;1;280;13
14/11/2019 14:11;coffee;B;1;280;7
14/11/2019 14:13;coffee;C;1;280;3
14/11/2019 14:15;soda;C;1;120;1
14/11/2019 14:20;coffee;B;1;280;8
14/11/2019 14:22;coffee;B;1;280;9
14/11/2019 14:27;coffee;B;1;280;10
14/11/2019 14:29;nrj;C;1;60;1
14/11/2019 14:31;coffee;C;1;280;4
14/11/2019 14:32;coffee;C;1;280;5
14/11/2019 14:36;coffee;A;1;280;14
14/11/2019 14:40;soda;C;1;120;2
14/11/2019 14:46;soda;A;1;120;6
14/11/2019 14:50;coffee;C;1;280;6
14/11/2019 14:53;soda;B;1;120;1
14/11/2019 14:54;refill;D;1;0;0
14/11/2019 14:57;coffee;A;1;280;15
14/11/2019 14:57;coffee;C;1;280;7
14/11/2019 15:04;coffee;C;1;280;8
14/11/2019 15:05;coffee;A;1;280;16
14/11/2019 15:06;coffee;D;1;280;1
14/11/2019 15:09;soda;A;1;120;7
14/11/2019 15:09;soda;B;1;120;2
14/11/2019 15:19;soda;D;1;120;1
14/11/2019 15:21;soda;B;1;120;3
14/11/2019 15:22;coffee;C;1;280;9
14/11/2019 15:32;coffee;C;1;280;10
14/11/2019 15:32;coffee;A;1;280;17
14/11/2019 15:33;coffee;A;1;280;18
14/11/2019 15:34;coffee;B;1;280;11
14/11/2019 15:35;coffee;B;1;280;12
14/11/2019 15:35;soda;C;1;120;3
14/11/2019 15:39;nrj;A;1;60;1
14/11/2019 15:41;coffee;B;1;280;13
14/11/2019 15:43;coffee;C;1;280;11
14/11/2019 15:45;coffee;C;1;280;12
14/11/2019 15:54;coffee;A;1;280;19
14/11/2019 15:56;coffee;C;1;280;13
14/11/2019 15:59;coffee;D;1;280;2
14/11/2019 16:00;coffee;A;1;280;20
14/11/2019 16:00;soda;D;1;120;2
14/11/2019 16:02;coffee;D;1;280;3
14/11/2019 16:02;soda;C;1;120;4
14/11/2019 16:03;coffee;D;1;280;4
14/11/2019 16:08;coffee;A;1;280;21
14/11/2019 16:09;coffee;C;1;280;14
14/11/2019 16:11;coffee;C;1;280;15
14/11/2019 16:12;nrj;D;1;60;1
14/11/2019 16:17;soda;D;1;120;3
14/11/2019 16:18;coffee;A;1;280;22
14/11/2019 16:23;coffee;B;1;280;14
14/11/2019 16:25;coffee;C;1;280;16
14/11/2019 16:36;coffee;D;1;280;5
14/11/2019 16:39;soda;C;1;120;5
14/11/2019 16:41;soda;B;1;120;4
14/11/2019 16:43;coffee;D;1;280;6
14/11/2019 16:55;soda;A;1;120;8
14/11/2019 16:57;soda;C;1;120;6
14/11/2019 17:01;soda;C;1;120;7
14/11/2019 17:02;nrj;C;1;60;2
14/11/2019 17:03;nrj;A;1;60;2
14/11/2019 17:06;nrj;C;1;60;3
